Date,mean,lower,upper
2025-12-01 00:00:00-04:00,260.67145,205.31578,321.03247
2025-12-02 00:00:00-04:00,259.85522,205.27013,325.42505
2025-12-03 00:00:00-04:00,259.5536,200.42357,333.46884
2025-12-04 00:00:00-04:00,259.4526,201.67656,340.7442
2025-12-05 00:00:00-04:00,260.14597,202.71707,334.19452
2025-12-08 00:00:00-04:00,259.08667,203.12,331.3884
2025-12-09 00:00:00-04:00,259.2268,200.80165,331.52585
2025-12-10 00:00:00-04:00,259.29037,204.16667,339.8795
2025-12-11 00:00:00-04:00,259.09842,198.5094,344.48325
2025-12-12 00:00:00-04:00,259.89862,201.1649,341.41937
2025-12-15 00:00:00-04:00,259.50232,201.93782,339.08075
2025-12-16 00:00:00-04:00,258.70248,199.4938,333.35876
2025-12-17 00:00:00-04:00,257.81192,197.88644,329.32837
2025-12-18 00:00:00-04:00,257.08096,196.02031,331.01355
2025-12-19 00:00:00-04:00,257.30963,195.34616,331.04626
2025-12-22 00:00:00-04:00,258.03165,195.80055,330.4155
2025-12-23 00:00:00-04:00,257.1296,195.95651,335.33322
2025-12-24 00:00:00-04:00,257.3888,194.09148,334.4342
2025-12-25 00:00:00-04:00,257.65298,196.19412,326.44086
2025-12-26 00:00:00-04:00,257.7388,197.47313,323.53064
2025-12-29 00:00:00-04:00,257.22922,190.64844,322.36426
2025-12-30 00:00:00-04:00,257.3096,194.6344,325.70337
2025-12-31 00:00:00-04:00,257.41354,196.38611,323.34564
2026-01-01 00:00:00-04:00,257.2157,197.0205,321.8304
2026-01-02 00:00:00-04:00,258.11102,199.39215,325.78934
2026-01-05 00:00:00-04:00,257.84763,197.93846,322.9193
2026-01-06 00:00:00-04:00,257.8387,194.12688,321.0624
2026-01-07 00:00:00-04:00,257.79797,191.0702,324.56543
2026-01-08 00:00:00-04:00,257.13776,193.01077,324.4718
2026-01-09 00:00:00-04:00,258.2655,189.68918,323.89377
2026-01-12 00:00:00-04:00,257.268,186.9017,331.1874
2026-01-13 00:00:00-04:00,257.0862,189.6389,335.57474
2026-01-14 00:00:00-04:00,257.0655,191.65396,325.096
2026-01-15 00:00:00-04:00,257.34995,188.03798,327.9532
2026-01-16 00:00:00-04:00,257.6192,186.73126,329.05823
2026-01-19 00:00:00-04:00,257.01804,196.60092,324.06287
2026-01-20 00:00:00-04:00,258.1602,190.33386,330.26645
2026-01-21 00:00:00-04:00,258.69965,185.82544,331.4479
2026-01-22 00:00:00-04:00,258.349,186.44206,325.14398
2026-01-23 00:00:00-04:00,258.28528,191.76291,328.47665
2026-01-26 00:00:00-04:00,258.3454,188.86592,328.99893
2026-01-27 00:00:00-04:00,257.66974,188.72423,333.45078
2026-01-28 00:00:00-04:00,257.4517,191.98793,331.56516
2026-01-29 00:00:00-04:00,257.59225,193.22592,331.2114
2026-01-30 00:00:00-04:00,257.26202,190.54294,322.87164
2026-02-02 00:00:00-04:00,257.53018,189.71452,329.84955
2026-02-03 00:00:00-04:00,257.90738,188.3236,332.8881
2026-02-04 00:00:00-04:00,258.074,183.90547,330.76093
2026-02-05 00:00:00-04:00,257.15906,182.05664,328.37555
2026-02-06 00:00:00-04:00,256.84036,182.53383,325.65866
2026-02-09 00:00:00-04:00,257.22687,186.40881,336.09363
2026-02-10 00:00:00-04:00,257.4758,188.14731,333.63715
2026-02-11 00:00:00-04:00,256.72742,191.10716,331.3156
2026-02-12 00:00:00-04:00,257.0823,188.77817,335.48157
2026-02-13 00:00:00-04:00,257.44647,188.90047,334.0056
2026-02-16 00:00:00-04:00,257.0648,186.97728,333.61032
2026-02-17 00:00:00-04:00,257.874,191.40916,335.305
2026-02-18 00:00:00-04:00,258.3015,192.94646,338.00964
2026-02-19 00:00:00-04:00,258.78967,191.09206,341.76416
2026-02-20 00:00:00-04:00,258.5178,193.97511,341.68475
2026-02-23 00:00:00-04:00,258.04404,194.85065,328.01517
2026-02-24 00:00:00-04:00,257.68307,194.3598,335.43835
2026-02-25 00:00:00-04:00,258.0099,195.338,328.03375
2026-02-26 00:00:00-04:00,257.88788,193.70486,330.15466
2026-02-27 00:00:00-04:00,257.33423,197.39735,330.46597
